EL1: Electronic Ladder,A1: RELIB_PCR2_100,B1: RELIB_PCR2_50,C1: RELIB_PCR2_10
766.2327,339.3914,428.5053,303.0508
521.8495,230.4931,277.0838,205.1953
364.3054,168.8471,188.4974,147.6873
256.5908,128.5091,138.9094,112.9668
189.9053,99.7643,106.0376,88.22617
147.3761,80.89069,81.6759,71.14621
119.2976,67.64516,66.03551,62.11456
101.0217,57.84313,55.30903,56.50976
88.16663,50.26255,47.67548,53.52169
76.93024,43.88679,42.07158,52.03486
66.44038,38.80994,37.84232,49.63036
58.18572,35.3821,34.39071,46.46505
51.66859,32.78125,31.3963,42.24137
46.47125,30.71,28.96587,37.85734
42.08004,29.2289,27.00612,33.76397
