reporter	best_category	count
AALA_9	full_length	462
AALA_9	PCR_chimera	15
AALB_1	full_length	225
AALB_1	PCR_chimera	70
AALB_10	full_length	545
AALB_10	PCR_chimera	36
AALB_10	ambiguous_deletion	26
AALB_2	full_length	142
AALB_2	PCR_chimera	6
AALB_3	PCR_chimera	371
AALB_3	full_length	169
AALB_3	ambiguous_deletion	1
AALB_4	full_length	166
AALB_4	PCR_chimera	5
AALB_5	full_length	119
AALB_5	PCR_chimera	4
AALB_5	ambiguous_deletion	3
AALB_6	full_length	294
AALB_6	PRE-SPACER_mispriming	1
AALB_7	PCR_chimera	647
AALB_7	full_length	355
AALB_7	ambiguous_deletion	25
AALB_8	full_length	405
AALB_8	PCR_chimera	271
AALB_8	ambiguous_deletion	3
AALB_9	full_length	310
AALB_9	ambiguous_deletion	1
AALL_1	full_length	197
AALL_1	PCR_chimera	47
AALL_10	full_length	141
AALL_10	ambiguous_deletion	28
AALL_10	PCR_chimera	3
AALL_2	full_length	304
AALL_2	PCR_chimera	63
AALL_2	ambiguous_deletion	1
AALL_3	full_length	481
AALL_3	PCR_chimera	3
AALL_3	ambiguous_deletion	1
AALL_4	full_length	187
AALL_4	PCR_chimera	7
AALL_4	ambiguous_deletion	5
AALL_5	full_length	456
AALL_5	PCR_chimera	133
AALL_6	full_length	279
AALL_6	PCR_chimera	24
AALL_6	ambiguous_deletion	8
AALL_7	full_length	204
AALL_7	PCR_chimera	50
AALL_8	full_length	128
AALL_8	PCR_chimera	72
AALL_8	ambiguous_deletion	13
AALL_9	PCR_chimera	346
AALL_9	full_length	276
AALL_9	ambiguous_deletion	21
AALL_9	PRE-SPACER_mispriming	2
AALS_1	full_length	392
AALS_1	PCR_chimera	160
AALS_10	full_length	293
AALS_10	PCR_chimera	91
AALS_10	ambiguous_deletion	35
AALS_10	PRE-SPACER_mispriming	1
AALS_2	full_length	528
AALS_2	ambiguous_deletion	2
AALS_3	PCR_chimera	124
AALS_3	full_length	103
AALS_3	ambiguous_deletion	9
AALS_4	full_length	372
AALS_4	PCR_chimera	61
AALS_4	ambiguous_deletion	22
AALS_5	full_length	403
AALS_5	PCR_chimera	357
AALS_5	ambiguous_deletion	50
AALS_5	PRE-SPACER_mispriming	1
AALS_6	full_length	265
AALS_6	PCR_chimera	4
AALS_7	full_length	395
AALS_7	PCR_chimera	49
AALS_7	ambiguous_deletion	6
AALS_8	full_length	245
AALS_8	PCR_chimera	10
AALS_8	ambiguous_deletion	1
AALS_9	full_length	381
AALS_9	PCR_chimera	208
AALS_9	ambiguous_deletion	2
AALp_1	full_length	160
AALp_1	PCR_chimera	143
AALp_10	full_length	361
AALp_10	PCR_chimera	214
AALp_2	full_length	216
AALp_2	PCR_chimera	96
AALp_2	ambiguous_deletion	1
AALp_3	full_length	171
AALp_3	PCR_chimera	132
AALp_4	full_length	320
AALp_4	PCR_chimera	12
AALp_4	ambiguous_deletion	1
AALp_5	PCR_chimera	352
AALp_5	full_length	258
AALp_6	full_length	192
AALp_6	PCR_chimera	93
AALp_7	full_length	324
AALp_7	PCR_chimera	140
AALp_8	full_length	313
AALp_8	PCR_chimera	58
AALp_8	ambiguous_deletion	5
AALp_9	full_length	282
AALp_9	PCR_chimera	21
AASA_1	full_length	383
AASA_1	PCR_chimera	102
AASA_10	full_length	249
AASA_10	PCR_chimera	23
AASA_10	ambiguous_deletion	1
AASA_2	full_length	461
AASA_2	PCR_chimera	26
AASA_2	ambiguous_deletion	2
AASA_3	full_length	306
AASA_3	PCR_chimera	11
AASA_3	ambiguous_deletion	1
AASA_4	full_length	500
AASA_4	ambiguous_deletion	10
AASA_4	PCR_chimera	8
AASA_5	full_length	321
